age,rate
0,7.518077687679882e-08
1,7.518077687679882e-08
2,7.518077687679882e-08
3,7.518077687679882e-08
4,7.518077687679882e-08
5,1.479801632591151e-07
6,1.479801632591151e-07
7,1.479801632591151e-07
8,1.479801632591151e-07
9,1.479801632591151e-07
10,1.5332167577525187e-07
11,1.5332167577525187e-07
12,1.5332167577525187e-07
13,1.5332167577525187e-07
14,1.5332167577525187e-07
15,1.551207391968585e-07
16,1.551207391968585e-07
17,1.551207391968585e-07
18,1.551207391968585e-07
19,1.551207391968585e-07
20,7.218248492003416e-07
21,7.218248492003416e-07
22,7.218248492003416e-07
23,7.218248492003416e-07
24,7.218248492003416e-07
25,1.0656633036792025e-06
26,1.0656633036792025e-06
27,1.0656633036792025e-06
28,1.0656633036792025e-06
29,1.0656633036792025e-06
30,1.5380678193915319e-06
31,1.5380678193915319e-06
32,1.5380678193915319e-06
33,1.5380678193915319e-06
34,1.5380678193915319e-06
35,4.390369480634812e-06
36,4.390369480634812e-06
37,4.390369480634812e-06
38,4.390369480634812e-06
39,4.390369480634812e-06
40,6.93504200439358e-06
41,6.93504200439358e-06
42,6.93504200439358e-06
43,6.93504200439358e-06
44,6.93504200439358e-06
45,1.4405696770697702e-05
46,1.4405696770697702e-05
47,1.4405696770697702e-05
48,1.4405696770697702e-05
49,1.4405696770697702e-05
50,3.373146948859948e-05
51,3.373146948859948e-05
52,3.373146948859948e-05
53,3.373146948859948e-05
54,3.373146948859948e-05
55,6.044247285776426e-05
56,6.044247285776426e-05
57,6.044247285776426e-05
58,6.044247285776426e-05
59,6.044247285776426e-05
60,9.868209536732179e-05
61,9.868209536732179e-05
62,9.868209536732179e-05
63,9.868209536732179e-05
64,9.868209536732179e-05
65,0.00016946610500757578
66,0.00016946610500757578
67,0.00016946610500757578
68,0.00016946610500757578
69,0.00016946610500757578
70,0.00026427665742616573
71,0.00026427665742616573
72,0.00026427665742616573
73,0.00026427665742616573
74,0.00026427665742616573
75,0.0003221749214913603
76,0.0003221749214913603
77,0.0003221749214913603
78,0.0003221749214913603
79,0.0003221749214913603
80,0.00037726398016669366
81,0.00037726398016669366
82,0.00037726398016669366
83,0.00037726398016669366
84,0.00037726398016669366
85,0.0003444455414047674
86,0.0003444455414047674
87,0.0003444455414047674
88,0.0003444455414047674
89,0.0003444455414047674
