age,rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,3.558478885498647e-08
6,3.558478885498647e-08
7,3.558478885498647e-08
8,3.558478885498647e-08
9,3.558478885498647e-08
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,1.1208760169147663e-07
16,1.1208760169147663e-07
17,1.1208760169147663e-07
18,1.1208760169147663e-07
19,1.1208760169147663e-07
20,1.0734282148459416e-07
21,1.0734282148459416e-07
22,1.0734282148459416e-07
23,1.0734282148459416e-07
24,1.0734282148459416e-07
25,7.419256234401014e-08
26,7.419256234401014e-08
27,7.419256234401014e-08
28,7.419256234401014e-08
29,7.419256234401014e-08
30,1.5682064951584563e-07
31,1.5682064951584563e-07
32,1.5682064951584563e-07
33,1.5682064951584563e-07
34,1.5682064951584563e-07
35,3.366129250106349e-07
36,3.366129250106349e-07
37,3.366129250106349e-07
38,3.366129250106349e-07
39,3.366129250106349e-07
40,5.401654661864295e-07
41,5.401654661864295e-07
42,5.401654661864295e-07
43,5.401654661864295e-07
44,5.401654661864295e-07
45,1.2198281603673927e-06
46,1.2198281603673927e-06
47,1.2198281603673927e-06
48,1.2198281603673927e-06
49,1.2198281603673927e-06
50,1.3654079028102655e-06
51,1.3654079028102655e-06
52,1.3654079028102655e-06
53,1.3654079028102655e-06
54,1.3654079028102655e-06
55,1.4959630368904486e-06
56,1.4959630368904486e-06
57,1.4959630368904486e-06
58,1.4959630368904486e-06
59,1.4959630368904486e-06
60,2.9167855661893992e-06
61,2.9167855661893992e-06
62,2.9167855661893992e-06
63,2.9167855661893992e-06
64,2.9167855661893992e-06
65,4.440706849512771e-06
66,4.440706849512771e-06
67,4.440706849512771e-06
68,4.440706849512771e-06
69,4.440706849512771e-06
70,6.00124954588759e-06
71,6.00124954588759e-06
72,6.00124954588759e-06
73,6.00124954588759e-06
74,6.00124954588759e-06
75,5.675207854487671e-06
76,5.675207854487671e-06
77,5.675207854487671e-06
78,5.675207854487671e-06
79,5.675207854487671e-06
80,1.5127126956776597e-05
81,1.5127126956776597e-05
82,1.5127126956776597e-05
83,1.5127126956776597e-05
84,1.5127126956776597e-05
85,1.0513123421302356e-05
86,1.0513123421302356e-05
87,1.0513123421302356e-05
88,1.0513123421302356e-05
89,1.0513123421302356e-05
