age,rate
0,1.5863982948062982e-06
1,1.5863982948062982e-06
2,1.5863982948062982e-06
3,1.5863982948062982e-06
4,1.5863982948062982e-06
5,2.838397409502348e-07
6,2.838397409502348e-07
7,2.838397409502348e-07
8,2.838397409502348e-07
9,2.838397409502348e-07
10,2.2886686923200998e-07
11,2.2886686923200998e-07
12,2.2886686923200998e-07
13,2.2886686923200998e-07
14,2.2886686923200998e-07
15,2.1853550710285532e-07
16,2.1853550710285532e-07
17,2.1853550710285532e-07
18,2.1853550710285532e-07
19,2.1853550710285532e-07
20,3.901059170073501e-07
21,3.901059170073501e-07
22,3.901059170073501e-07
23,3.901059170073501e-07
24,3.901059170073501e-07
25,1.1519990248885674e-06
26,1.1519990248885674e-06
27,1.1519990248885674e-06
28,1.1519990248885674e-06
29,1.1519990248885674e-06
30,2.816870347101855e-06
31,2.816870347101855e-06
32,2.816870347101855e-06
33,2.816870347101855e-06
34,2.816870347101855e-06
35,4.480784143883106e-06
36,4.480784143883106e-06
37,4.480784143883106e-06
38,4.480784143883106e-06
39,4.480784143883106e-06
40,7.423095897618992e-06
41,7.423095897618992e-06
42,7.423095897618992e-06
43,7.423095897618992e-06
44,7.423095897618992e-06
45,1.2074013009144741e-05
46,1.2074013009144741e-05
47,1.2074013009144741e-05
48,1.2074013009144741e-05
49,1.2074013009144741e-05
50,2.1003680475363274e-05
51,2.1003680475363274e-05
52,2.1003680475363274e-05
53,2.1003680475363274e-05
54,2.1003680475363274e-05
55,2.5804737838969107e-05
56,2.5804737838969107e-05
57,2.5804737838969107e-05
58,2.5804737838969107e-05
59,2.5804737838969107e-05
60,3.45064894424933e-05
61,3.45064894424933e-05
62,3.45064894424933e-05
63,3.45064894424933e-05
64,3.45064894424933e-05
65,4.0247657915378226e-05
66,4.0247657915378226e-05
67,4.0247657915378226e-05
68,4.0247657915378226e-05
69,4.0247657915378226e-05
70,4.2503113728204e-05
71,4.2503113728204e-05
72,4.2503113728204e-05
73,4.2503113728204e-05
74,4.2503113728204e-05
75,4.533925023856516e-05
76,4.533925023856516e-05
77,4.533925023856516e-05
78,4.533925023856516e-05
79,4.533925023856516e-05
80,4.4922477261626474e-05
81,4.4922477261626474e-05
82,4.4922477261626474e-05
83,4.4922477261626474e-05
84,4.4922477261626474e-05
85,3.884297907946305e-05
86,3.884297907946305e-05
87,3.884297907946305e-05
88,3.884297907946305e-05
89,3.884297907946305e-05
