age,rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,6.261348694508798e-06
16,6.261348694508798e-06
17,6.261348694508798e-06
18,6.261348694508798e-06
19,6.261348694508798e-06
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,5.750265949800178e-06
26,5.750265949800178e-06
27,5.750265949800178e-06
28,5.750265949800178e-06
29,5.750265949800178e-06
30,1.0855700599777459e-05
31,1.0855700599777459e-05
32,1.0855700599777459e-05
33,1.0855700599777459e-05
34,1.0855700599777459e-05
35,9.83743636408352e-06
36,9.83743636408352e-06
37,9.83743636408352e-06
38,9.83743636408352e-06
39,9.83743636408352e-06
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,4.005607850991388e-05
46,4.005607850991388e-05
47,4.005607850991388e-05
48,4.005607850991388e-05
49,4.005607850991388e-05
50,2.8052064631956913e-05
51,2.8052064631956913e-05
52,2.8052064631956913e-05
53,2.8052064631956913e-05
54,2.8052064631956913e-05
55,2.6001040041601667e-05
56,2.6001040041601667e-05
57,2.6001040041601667e-05
58,2.6001040041601667e-05
59,2.6001040041601667e-05
60,7.819831091648421e-05
61,7.819831091648421e-05
62,7.819831091648421e-05
63,7.819831091648421e-05
64,7.819831091648421e-05
65,9.19963201471941e-05
66,9.19963201471941e-05
67,9.19963201471941e-05
68,9.19963201471941e-05
69,9.19963201471941e-05
70,6.586530545035402e-05
71,6.586530545035402e-05
72,6.586530545035402e-05
73,6.586530545035402e-05
74,6.586530545035402e-05
75,3.787639669212803e-05
76,3.787639669212803e-05
77,3.787639669212803e-05
78,3.787639669212803e-05
79,3.787639669212803e-05
80,1.554001554001554e-05
81,1.554001554001554e-05
82,1.554001554001554e-05
83,1.554001554001554e-05
84,1.554001554001554e-05
85,2.0333468889792597e-05
86,2.0333468889792597e-05
87,2.0333468889792597e-05
88,2.0333468889792597e-05
89,2.0333468889792597e-05
