age,rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,8.805943424748811e-07
26,8.805943424748811e-07
27,8.805943424748811e-07
28,8.805943424748811e-07
29,8.805943424748811e-07
30,1.8313877890387778e-06
31,1.8313877890387778e-06
32,1.8313877890387778e-06
33,1.8313877890387778e-06
34,1.8313877890387778e-06
35,1.9848457030571585e-06
36,1.9848457030571585e-06
37,1.9848457030571585e-06
38,1.9848457030571585e-06
39,1.9848457030571585e-06
40,6.91161427663045e-06
41,6.91161427663045e-06
42,6.91161427663045e-06
43,6.91161427663045e-06
44,6.91161427663045e-06
45,6.17195054210299e-06
46,6.17195054210299e-06
47,6.17195054210299e-06
48,6.17195054210299e-06
49,6.17195054210299e-06
50,1.0827124654039532e-05
51,1.0827124654039532e-05
52,1.0827124654039532e-05
53,1.0827124654039532e-05
54,1.0827124654039532e-05
55,2.877785014313194e-05
56,2.877785014313194e-05
57,2.877785014313194e-05
58,2.877785014313194e-05
59,2.877785014313194e-05
60,3.470896532574364e-05
61,3.470896532574364e-05
62,3.470896532574364e-05
63,3.470896532574364e-05
64,3.470896532574364e-05
65,9.911480228305821e-05
66,9.911480228305821e-05
67,9.911480228305821e-05
68,9.911480228305821e-05
69,9.911480228305821e-05
70,0.0001238451440319025
71,0.0001238451440319025
72,0.0001238451440319025
73,0.0001238451440319025
74,0.0001238451440319025
75,5.701063080586203e-05
76,5.701063080586203e-05
77,5.701063080586203e-05
78,5.701063080586203e-05
79,5.701063080586203e-05
