age,rate
0,3.8354863996049444e-06
1,3.8354863996049444e-06
2,3.8354863996049444e-06
3,3.8354863996049444e-06
4,3.8354863996049444e-06
5,9.800190450367753e-07
6,9.800190450367753e-07
7,9.800190450367753e-07
8,9.800190450367753e-07
9,9.800190450367753e-07
10,3.8529038372995774e-07
11,3.8529038372995774e-07
12,3.8529038372995774e-07
13,3.8529038372995774e-07
14,3.8529038372995774e-07
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,3.2781672422581984e-07
21,3.2781672422581984e-07
22,3.2781672422581984e-07
23,3.2781672422581984e-07
24,3.2781672422581984e-07
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,4.84641704387946e-07
36,4.84641704387946e-07
37,4.84641704387946e-07
38,4.84641704387946e-07
39,4.84641704387946e-07
40,1.2787519381084063e-06
41,1.2787519381084063e-06
42,1.2787519381084063e-06
43,1.2787519381084063e-06
44,1.2787519381084063e-06
45,3.854530036425309e-06
46,3.854530036425309e-06
47,3.854530036425309e-06
48,3.854530036425309e-06
49,3.854530036425309e-06
50,2.795814665445828e-06
51,2.795814665445828e-06
52,2.795814665445828e-06
53,2.795814665445828e-06
54,2.795814665445828e-06
55,1.7624716902984746e-06
56,1.7624716902984746e-06
57,1.7624716902984746e-06
58,1.7624716902984746e-06
59,1.7624716902984746e-06
60,1.304699527698771e-05
61,1.304699527698771e-05
62,1.304699527698771e-05
63,1.304699527698771e-05
64,1.304699527698771e-05
65,2.4819027921406412e-05
66,2.4819027921406412e-05
67,2.4819027921406412e-05
68,2.4819027921406412e-05
69,2.4819027921406412e-05
70,3.27043202407038e-05
71,3.27043202407038e-05
72,3.27043202407038e-05
73,3.27043202407038e-05
74,3.27043202407038e-05
75,1.4368504238708749e-05
76,1.4368504238708749e-05
77,1.4368504238708749e-05
78,1.4368504238708749e-05
79,1.4368504238708749e-05
