age,rate
0,2.315507233663894e-08
1,2.315507233663894e-08
2,2.315507233663894e-08
3,2.315507233663894e-08
4,2.315507233663894e-08
5,2.2537600888161775e-08
6,2.2537600888161775e-08
7,2.2537600888161775e-08
8,2.2537600888161775e-08
9,2.2537600888161775e-08
10,3.442498518606825e-08
11,3.442498518606825e-08
12,3.442498518606825e-08
13,3.442498518606825e-08
14,3.442498518606825e-08
15,9.470570422265338e-08
16,9.470570422265338e-08
17,9.470570422265338e-08
18,9.470570422265338e-08
19,9.470570422265338e-08
20,2.2698843616142303e-07
21,2.2698843616142303e-07
22,2.2698843616142303e-07
23,2.2698843616142303e-07
24,2.2698843616142303e-07
25,6.014204370364936e-07
26,6.014204370364936e-07
27,6.014204370364936e-07
28,6.014204370364936e-07
29,6.014204370364936e-07
30,1.5147182792121337e-06
31,1.5147182792121337e-06
32,1.5147182792121337e-06
33,1.5147182792121337e-06
34,1.5147182792121337e-06
35,2.6244040123731633e-06
36,2.6244040123731633e-06
37,2.6244040123731633e-06
38,2.6244040123731633e-06
39,2.6244040123731633e-06
40,4.775631920354418e-06
41,4.775631920354418e-06
42,4.775631920354418e-06
43,4.775631920354418e-06
44,4.775631920354418e-06
45,8.938442759669644e-06
46,8.938442759669644e-06
47,8.938442759669644e-06
48,8.938442759669644e-06
49,8.938442759669644e-06
50,1.4762752342004053e-05
51,1.4762752342004053e-05
52,1.4762752342004053e-05
53,1.4762752342004053e-05
54,1.4762752342004053e-05
55,2.1624709972398283e-05
56,2.1624709972398283e-05
57,2.1624709972398283e-05
58,2.1624709972398283e-05
59,2.1624709972398283e-05
60,2.7025443535756872e-05
61,2.7025443535756872e-05
62,2.7025443535756872e-05
63,2.7025443535756872e-05
64,2.7025443535756872e-05
65,3.694479246601331e-05
66,3.694479246601331e-05
67,3.694479246601331e-05
68,3.694479246601331e-05
69,3.694479246601331e-05
70,3.8078423992275436e-05
71,3.8078423992275436e-05
72,3.8078423992275436e-05
73,3.8078423992275436e-05
74,3.8078423992275436e-05
75,1.9488842264454132e-05
76,1.9488842264454132e-05
77,1.9488842264454132e-05
78,1.9488842264454132e-05
79,1.9488842264454132e-05
