age,rate
0,5.0327160695091425e-08
1,5.0327160695091425e-08
2,5.0327160695091425e-08
3,5.0327160695091425e-08
4,5.0327160695091425e-08
5,4.8491928726286057e-08
6,4.8491928726286057e-08
7,4.8491928726286057e-08
8,4.8491928726286057e-08
9,4.8491928726286057e-08
10,4.4095490927384236e-08
11,4.4095490927384236e-08
12,4.4095490927384236e-08
13,4.4095490927384236e-08
14,4.4095490927384236e-08
15,6.710890008299236e-08
16,6.710890008299236e-08
17,6.710890008299236e-08
18,6.710890008299236e-08
19,6.710890008299236e-08
20,4.5531785212795785e-07
21,4.5531785212795785e-07
22,4.5531785212795785e-07
23,4.5531785212795785e-07
24,4.5531785212795785e-07
25,6.75159070406397e-07
26,6.75159070406397e-07
27,6.75159070406397e-07
28,6.75159070406397e-07
29,6.75159070406397e-07
30,1.6360477189813692e-06
31,1.6360477189813692e-06
32,1.6360477189813692e-06
33,1.6360477189813692e-06
34,1.6360477189813692e-06
35,2.9006084111054716e-06
36,2.9006084111054716e-06
37,2.9006084111054716e-06
38,2.9006084111054716e-06
39,2.9006084111054716e-06
40,7.0741289696493525e-06
41,7.0741289696493525e-06
42,7.0741289696493525e-06
43,7.0741289696493525e-06
44,7.0741289696493525e-06
45,1.619242470615786e-05
46,1.619242470615786e-05
47,1.619242470615786e-05
48,1.619242470615786e-05
49,1.619242470615786e-05
50,3.315572866297192e-05
51,3.315572866297192e-05
52,3.315572866297192e-05
53,3.315572866297192e-05
54,3.315572866297192e-05
55,5.387393611655705e-05
56,5.387393611655705e-05
57,5.387393611655705e-05
58,5.387393611655705e-05
59,5.387393611655705e-05
60,8.103565649467236e-05
61,8.103565649467236e-05
62,8.103565649467236e-05
63,8.103565649467236e-05
64,8.103565649467236e-05
65,0.00011750007587747363
66,0.00011750007587747363
67,0.00011750007587747363
68,0.00011750007587747363
69,0.00011750007587747363
70,0.00011866506807304048
71,0.00011866506807304048
72,0.00011866506807304048
73,0.00011866506807304048
74,0.00011866506807304048
75,6.836311310766678e-05
76,6.836311310766678e-05
77,6.836311310766678e-05
78,6.836311310766678e-05
79,6.836311310766678e-05
