age,rate
0,2.156878315503918e-08
1,2.156878315503918e-08
2,2.156878315503918e-08
3,2.156878315503918e-08
4,2.156878315503918e-08
5,2.770967355787775e-08
6,2.770967355787775e-08
7,2.770967355787775e-08
8,2.770967355787775e-08
9,2.770967355787775e-08
10,6.299355846769177e-09
11,6.299355846769177e-09
12,6.299355846769177e-09
13,6.299355846769177e-09
14,6.299355846769177e-09
15,4.880647278763081e-08
16,4.880647278763081e-08
17,4.880647278763081e-08
18,4.880647278763081e-08
19,4.880647278763081e-08
20,4.553178521279579e-08
21,4.553178521279579e-08
22,4.553178521279579e-08
23,4.553178521279579e-08
24,4.553178521279579e-08
25,8.369740542228061e-08
26,8.369740542228061e-08
27,8.369740542228061e-08
28,8.369740542228061e-08
29,8.369740542228061e-08
30,7.550989472221704e-08
31,7.550989472221704e-08
32,7.550989472221704e-08
33,7.550989472221704e-08
34,7.550989472221704e-08
35,1.2227389086627282e-07
36,1.2227389086627282e-07
37,1.2227389086627282e-07
38,1.2227389086627282e-07
39,1.2227389086627282e-07
40,3.461807793658194e-07
41,3.461807793658194e-07
42,3.461807793658194e-07
43,3.461807793658194e-07
44,3.461807793658194e-07
45,1.3763146447630336e-06
46,1.3763146447630336e-06
47,1.3763146447630336e-06
48,1.3763146447630336e-06
49,1.3763146447630336e-06
50,5.090513687779615e-06
51,5.090513687779615e-06
52,5.090513687779615e-06
53,5.090513687779615e-06
54,5.090513687779615e-06
55,1.4000711431499484e-05
56,1.4000711431499484e-05
57,1.4000711431499484e-05
58,1.4000711431499484e-05
59,1.4000711431499484e-05
60,3.2159332129055474e-05
61,3.2159332129055474e-05
62,3.2159332129055474e-05
63,3.2159332129055474e-05
64,3.2159332129055474e-05
65,7.157869035593362e-05
66,7.157869035593362e-05
67,7.157869035593362e-05
68,7.157869035593362e-05
69,7.157869035593362e-05
70,0.00010403304893484516
71,0.00010403304893484516
72,0.00010403304893484516
73,0.00010403304893484516
74,0.00010403304893484516
75,8.238850418635164e-05
76,8.238850418635164e-05
77,8.238850418635164e-05
78,8.238850418635164e-05
79,8.238850418635164e-05
